region,disease,data,val
northern europe,unspecified_carcinoma,upper,33
southern europe,carcinoma_melanoma,incidence,146
southern europe,carcinoma_melanoma,lower,112
southern europe,carcinoma_melanoma,upper,188
southern europe,adrenocortical,incidence,3
southern europe,adrenocortical,lower,0
southern europe,adrenocortical,upper,7
southern europe,thyroid,incidence,61
southern europe,thyroid,lower,38
southern europe,thyroid,upper,86
southern europe,nasopharyngeal,incidence,8
southern europe,nasopharyngeal,lower,2
southern europe,nasopharyngeal,upper,17
southern europe,melanoma,incidence,34
southern europe,melanoma,lower,20
southern europe,melanoma,upper,51
southern europe,skin_carcinoma,incidence,14
southern europe,skin_carcinoma,lower,4
southern europe,skin_carcinoma,upper,30
southern europe,unspecified_carcinoma,incidence,26
southern europe,unspecified_carcinoma,lower,14
southern europe,unspecified_carcinoma,upper,41
western europe,carcinoma_melanoma,incidence,187
western europe,carcinoma_melanoma,lower,142
western europe,carcinoma_melanoma,upper,243
western europe,adrenocortical,incidence,3
western europe,adrenocortical,lower,0
western europe,adrenocortical,upper,8
western europe,thyroid,incidence,51
western europe,thyroid,lower,24
western europe,thyroid,upper,79
western europe,nasopharyngeal,incidence,8
western europe,nasopharyngeal,lower,1
western europe,nasopharyngeal,upper,18
western europe,melanoma,incidence,57
western europe,melanoma,lower,32
western europe,melanoma,upper,82
western europe,skin_carcinoma,incidence,11
western europe,skin_carcinoma,lower,4
western europe,skin_carcinoma,upper,21
western europe,unspecified_carcinoma,incidence,57
western europe,unspecified_carcinoma,lower,27
western europe,unspecified_carcinoma,upper,90
northern america,carcinoma_melanoma,incidence,444
northern america,carcinoma_melanoma,lower,346
northern america,carcinoma_melanoma,upper,532
northern america,adrenocortical,incidence,14
northern america,adrenocortical,lower,5
northern america,adrenocortical,upper,23
northern america,thyroid,incidence,162
northern america,thyroid,lower,71
northern america,thyroid,upper,218
northern america,nasopharyngeal,incidence,27
northern america,nasopharyngeal,lower,10
northern america,nasopharyngeal,upper,51
northern america,melanoma,incidence,126
northern america,melanoma,lower,52
northern america,melanoma,upper,176
northern america,skin_carcinoma,incidence,7
northern america,skin_carcinoma,lower,1
northern america,skin_carcinoma,upper,17
northern america,unspecified_carcinoma,incidence,109
northern america,unspecified_carcinoma,lower,65
northern america,unspecified_carcinoma,upper,149
caribbean,carcinoma_melanoma,incidence,85
caribbean,carcinoma_melanoma,lower,54
caribbean,carcinoma_melanoma,upper,123
caribbean,adrenocortical,incidence,2
caribbean,adrenocortical,lower,0
caribbean,adrenocortical,upper,8
caribbean,thyroid,incidence,21
caribbean,thyroid,lower,8
caribbean,thyroid,upper,36
caribbean,nasopharyngeal,incidence,6
caribbean,nasopharyngeal,lower,1
caribbean,nasopharyngeal,upper,15
caribbean,melanoma,incidence,7
caribbean,melanoma,lower,1
caribbean,melanoma,upper,16
caribbean,skin_carcinoma,incidence,20
caribbean,skin_carcinoma,lower,6
caribbean,skin_carcinoma,upper,42
caribbean,unspecified_carcinoma,incidence,29
caribbean,unspecified_carcinoma,lower,13
caribbean,unspecified_carcinoma,upper,58
central america,carcinoma_melanoma,incidence,542
central america,carcinoma_melanoma,lower,379
central america,carcinoma_melanoma,upper,782
central america,adrenocortical,incidence,33
central america,adrenocortical,lower,15
central america,adrenocortical,upper,67
central america,thyroid,incidence,114
central america,thyroid,lower,55
central america,thyroid,upper,170
central america,nasopharyngeal,incidence,110
central america,nasopharyngeal,lower,53
central america,nasopharyngeal,upper,192
central america,melanoma,incidence,46
central america,melanoma,lower,15
central america,melanoma,upper,107
central america,skin_carcinoma,incidence,144
central america,skin_carcinoma,lower,54
central america,skin_carcinoma,upper,340
central america,unspecified_carcinoma,incidence,94
central america,unspecified_carcinoma,lower,33
central america,unspecified_carcinoma,upper,191
south america,carcinoma_melanoma,incidence,754
south america,carcinoma_melanoma,lower,583
south america,carcinoma_melanoma,upper,937
south america,adrenocortical,incidence,63
south america,adrenocortical,lower,24
south america,adrenocortical,upper,113
south america,thyroid,incidence,207
south america,thyroid,lower,122
south america,thyroid,upper,302
south america,nasopharyngeal,incidence,43
south america,nasopharyngeal,lower,15
south america,nasopharyngeal,upper,94
south america,melanoma,incidence,108
south america,melanoma,lower,68
south america,melanoma,upper,151
south america,skin_carcinoma,incidence,137
south america,skin_carcinoma,lower,66
south america,skin_carcinoma,upper,236
south america,unspecified_carcinoma,incidence,197
south america,unspecified_carcinoma,lower,123
south america,unspecified_carcinoma,upper,278
oceania,carcinoma_melanoma,incidence,17
oceania,carcinoma_melanoma,lower,7
oceania,carcinoma_melanoma,upper,32
oceania,adrenocortical,incidence,2
oceania,adrenocortical,lower,0
oceania,adrenocortical,upper,5
