region,disease,data,val
northern america,chondrosarcoma,upper,20
northern america,ewing_related,incidence,162
northern america,ewing_related,lower,99
northern america,ewing_related,upper,216
northern america,other_specified_bone,incidence,17
northern america,other_specified_bone,lower,6
northern america,other_specified_bone,upper,28
northern america,unspecified_bone,incidence,12
northern america,unspecified_bone,lower,4
northern america,unspecified_bone,upper,21
caribbean,bone_tumours,incidence,73
caribbean,bone_tumours,lower,45
caribbean,bone_tumours,upper,111
caribbean,osteosarcoma,incidence,44
caribbean,osteosarcoma,lower,22
caribbean,osteosarcoma,upper,75
caribbean,chondrosarcoma,incidence,5
caribbean,chondrosarcoma,lower,0
caribbean,chondrosarcoma,upper,17
caribbean,ewing_related,incidence,16
caribbean,ewing_related,lower,6
caribbean,ewing_related,upper,31
caribbean,other_specified_bone,incidence,2
caribbean,other_specified_bone,lower,0
caribbean,other_specified_bone,upper,8
caribbean,unspecified_bone,incidence,6
caribbean,unspecified_bone,lower,1
caribbean,unspecified_bone,upper,20
central america,bone_tumours,incidence,461
central america,bone_tumours,lower,262
central america,bone_tumours,upper,691
central america,osteosarcoma,incidence,271
central america,osteosarcoma,lower,89
central america,osteosarcoma,upper,457
central america,chondrosarcoma,incidence,21
central america,chondrosarcoma,lower,3
central america,chondrosarcoma,upper,50
central america,ewing_related,incidence,108
central america,ewing_related,lower,35
central america,ewing_related,upper,174
central america,other_specified_bone,incidence,20
central america,other_specified_bone,lower,3
central america,other_specified_bone,upper,55
central america,unspecified_bone,incidence,41
central america,unspecified_bone,lower,13
central america,unspecified_bone,upper,78
south america,bone_tumours,incidence,1034
south america,bone_tumours,lower,772
south america,bone_tumours,upper,1330
south america,osteosarcoma,incidence,582
south america,osteosarcoma,lower,357
south america,osteosarcoma,upper,799
south america,chondrosarcoma,incidence,34
south america,chondrosarcoma,lower,16
south america,chondrosarcoma,upper,61
south america,ewing_related,incidence,306
south america,ewing_related,lower,168
south america,ewing_related,upper,437
south america,other_specified_bone,incidence,42
south america,other_specified_bone,lower,21
south america,other_specified_bone,upper,81
south america,unspecified_bone,incidence,69
south america,unspecified_bone,lower,36
south america,unspecified_bone,upper,106
oceania,bone_tumours,incidence,34
oceania,bone_tumours,lower,14
oceania,bone_tumours,upper,57
oceania,osteosarcoma,incidence,14
oceania,osteosarcoma,lower,3
oceania,osteosarcoma,upper,37
oceania,chondrosarcoma,incidence,0
oceania,chondrosarcoma,lower,0
oceania,chondrosarcoma,upper,1
oceania,ewing_related,incidence,16
oceania,ewing_related,lower,4
oceania,ewing_related,upper,33
oceania,other_specified_bone,incidence,2
oceania,other_specified_bone,lower,0
oceania,other_specified_bone,upper,8
oceania,unspecified_bone,incidence,1
oceania,unspecified_bone,lower,0
oceania,unspecified_bone,upper,5
australia/new zealand,bone_tumours,incidence,35
australia/new zealand,bone_tumours,lower,19
australia/new zealand,bone_tumours,upper,57
australia/new zealand,osteosarcoma,incidence,17
australia/new zealand,osteosarcoma,lower,4
australia/new zealand,osteosarcoma,upper,38
australia/new zealand,chondrosarcoma,incidence,0
australia/new zealand,chondrosarcoma,lower,0
australia/new zealand,chondrosarcoma,upper,2
australia/new zealand,ewing_related,incidence,17
australia/new zealand,ewing_related,lower,8
australia/new zealand,ewing_related,upper,29
australia/new zealand,other_specified_bone,incidence,1
australia/new zealand,other_specified_bone,lower,0
australia/new zealand,other_specified_bone,upper,3
australia/new zealand,unspecified_bone,incidence,0
australia/new zealand,unspecified_bone,lower,0
australia/new zealand,unspecified_bone,upper,2
