region,disease,incidence,lower,upper
southern europe,hepatoblastoma,33,19,49
southern europe,hepatic_carcinoma,8,3,17
southern europe,unspecified_hepatic,28,6,105
western europe,hepatoblastoma,40,22,59
western europe,hepatic_carcinoma,5,1,11
western europe,unspecified_hepatic,3,0,11
northern america,hepatoblastoma,148,84,201
northern america,hepatic_carcinoma,25,11,38
northern america,unspecified_hepatic,3,0,7
caribbean,hepatoblastoma,11,3,22
caribbean,hepatic_carcinoma,5,1,12
caribbean,unspecified_hepatic,1,0,7
central america,hepatoblastoma,158,61,283
central america,hepatic_carcinoma,59,25,113
central america,unspecified_hepatic,33,7,83
south america,hepatoblastoma,190,104,266
south america,hepatic_carcinoma,55,35,81
south america,unspecified_hepatic,63,39,94
oceania,hepatoblastoma,5,0,15
oceania,hepatic_carcinoma,3,0,10
oceania,unspecified_hepatic,2,0,7
australia/new zealand,hepatoblastoma,9,2,19
australia/new zealand,hepatic_carcinoma,1,0,3
australia/new zealand,unspecified_hepatic,1,0,5
eastern africa,lymphoid,3526,2091,5469
eastern africa,acute_myeloid,673,280,1296
eastern africa,cmd,220,128,354
eastern africa,mds_other,226,67,482
eastern africa,unspecified_leukaemia,1756,939,3453
southern africa,lymphoid,823,556,1171
southern africa,acute_myeloid,388,259,610
southern africa,cmd,43,14,87
southern africa,mds_other,21,6,90
southern africa,unspecified_leukaemia,57,16,184
western africa,lymphoid,1699,884,3307
western africa,acute_myeloid,770,395,1543
western africa,cmd,204,49,547
western africa,mds_other,304,101,871
western africa,unspecified_leukaemia,1251,602,2811
northern africa,lymphoid,2173,1268,3016
northern africa,acute_myeloid,699,472,929
northern africa,cmd,111,45,230
northern africa,mds_other,168,100,297
northern africa,unspecified_leukaemia,381,186,699
eastern asia,lymphoid,10173,6421,14711
eastern asia,acute_myeloid,2525,1282,3559
eastern asia,cmd,409,171,672
eastern asia,mds_other,490,251,726
eastern asia,unspecified_leukaemia,1155,306,2416
south-central asia,lymphoid,28538,23000,34534
south-central asia,acute_myeloid,5437,4054,6624
south-central asia,cmd,1006,792,1235
south-central asia,mds_other,198,56,553
south-central asia,unspecified_leukaemia,5500,4124,6994
south-eastern asia,lymphoid,7320,4326,12152
south-eastern asia,acute_myeloid,2567,1388,3899
south-eastern asia,cmd,361,167,578
south-eastern asia,mds_other,77,30,143
south-eastern asia,unspecified_leukaemia,2702,1698,4002
western asia,lymphoid,3145,2319,4036
western asia,acute_myeloid,682,466,907
western asia,cmd,74,46,109
western asia,mds_other,79,47,123
western asia,unspecified_leukaemia,201,138,291
eastern europe,lymphoid,1903,1318,2520
eastern europe,acute_myeloid,318,182,464
eastern europe,cmd,45,24,69
eastern europe,mds_other,26,12,44
eastern europe,unspecified_leukaemia,69,33,110
northern europe,lymphoid,690,555,827
northern europe,acute_myeloid,120,65,162
northern europe,cmd,11,3,21
northern europe,mds_other,14,4,26
northern europe,unspecified_leukaemia,16,6,26
southern europe,lymphoid,918,758,1062
southern europe,acute_myeloid,158,110,203
southern europe,cmd,23,13,37
southern europe,mds_other,15,7,25
southern europe,unspecified_leukaemia,20,9,34
western europe,lymphoid,1082,913,1280
western europe,acute_myeloid,198,128,253
western europe,cmd,25,12,40
western europe,mds_other,39,18,61
western europe,unspecified_leukaemia,13,3,26
northern america,lymphoid,2677,2470,2951
northern america,acute_myeloid,499,332,610
northern america,cmd,94,47,128
northern america,mds_other,74,14,111
northern america,unspecified_leukaemia,86,49,126
caribbean,lymphoid,316,157,525
caribbean,acute_myeloid,68,35,119
caribbean,cmd,16,6,29
caribbean,mds_other,3,0,14
caribbean,unspecified_leukaemia,43,23,70
central america,lymphoid,3696,2197,4934
central america,acute_myeloid,585,286,833
central america,cmd,70,30,106
central america,mds_other,36,17,62
central america,unspecified_leukaemia,66,24,111
south america,lymphoid,5468,4158,6718
south america,acute_myeloid,1128,696,1503
south america,cmd,121,72,183
south america,mds_other,72,42,108
south america,unspecified_leukaemia,502,280,760
oceania,lymphoid,119,36,201
oceania,acute_myeloid,39,7,70
oceania,cmd,6,0,14
oceania,mds_other,5,0,13
oceania,unspecified_leukaemia,9,0,22
australia/new zealand,lymphoid,245,190,318
australia/new zealand,acute_myeloid,49,27,78
australia/new zealand,cmd,5,1,13
australia/new zealand,mds_other,3,0,9
australia/new zealand,unspecified_leukaemia,3,0,8
eastern africa,hodgkin,1901,1236,2817
eastern africa,non_hodgkin_except_bl,3183,1867,5814
eastern africa,burkitt_bl,4091,1680,7214
eastern africa,lymphoreticular,733,191,3147
eastern africa,unspecified_lymphoma,2184,1259,4179
southern africa,hodgkin,312,186,496
southern africa,non_hodgkin_except_bl,446,220,751
southern africa,burkitt_bl,200,120,308
southern africa,lymphoreticular,44,17,106
southern africa,unspecified_lymphoma,34,10,80
western africa,hodgkin,2457,1042,4307
western africa,non_hodgkin_except_bl,5888,2465,13459
western africa,burkitt_bl,11803,4747,33914
western africa,lymphoreticular,549,123,3633
western africa,unspecified_lymphoma,2581,1064,4582
northern africa,hodgkin,1117,707,1488
northern africa,non_hodgkin_except_bl,851,415,1303
northern africa,burkitt_bl,403,198,656
northern africa,lymphoreticular,187,82,337
northern africa,unspecified_lymphoma,187,100,309
eastern asia,hodgkin,352,39,605
eastern asia,non_hodgkin_except_bl,1429,542,2275
eastern asia,burkitt_bl,440,179,661
eastern asia,lymphoreticular,368,194,548
eastern asia,unspecified_lymphoma,539,176,1318
south-central asia,hodgkin,6407,4074,8361
south-central asia,non_hodgkin_except_bl,5403,2836,7227
south-central asia,burkitt_bl,987,626,1340
south-central asia,lymphoreticular,776,433,1839
south-central asia,unspecified_lymphoma,1724,1086,2341
south-eastern asia,hodgkin,404,224,712
south-eastern asia,non_hodgkin_except_bl,1188,598,1859
south-eastern asia,burkitt_bl,165,96,273
south-eastern asia,lymphoreticular,165,92,283
south-eastern asia,unspecified_lymphoma,658,379,945
western asia,hodgkin,880,577,1224
western asia,non_hodgkin_except_bl,627,422,852
western asia,burkitt_bl,326,210,459
western asia,lymphoreticular,89,49,134
western asia,unspecified_lymphoma,50,27,82
eastern europe,hodgkin,364,202,505
eastern europe,non_hodgkin_except_bl,279,141,416
eastern europe,burkitt_bl,118,72,186
eastern europe,lymphoreticular,52,17,94
eastern europe,unspecified_lymphoma,22,7,41
northern europe,hodgkin,93,47,129
northern europe,non_hodgkin_except_bl,92,54,126
northern europe,burkitt_bl,32,13,51
northern europe,lymphoreticular,13,5,21
northern europe,unspecified_lymphoma,11,5,20
southern europe,hodgkin,191,133,249
southern europe,non_hodgkin_except_bl,144,101,184
